CardName,CardEffect,CardType,CardRace,Mana,Civilization,Power,Set,SetNum,ImageURL
"Happou, Persevering Holy Chaos","■ Shield Trigger Plus
■ Blocker
■ Icon",Creature,Mecha Del Stella/Shinobi,2,Light,2500,DM23-RP2X,53,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-53
"Kusokzeshki, Holy Chaos Great Ninja","■ Shield Trigger Plus
■ Icon
■ Blocker
■ Each of your Mecha creatures that cost 8 or less in your shield zone get ""Shield Trigger"".",Creature,Mecha Del Stella/Shinobi,5,Light,5500,DM23-RP2X,2,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-2
"Kusokzeshki, Holy Chaos Great Ninja","■ Shield Trigger Plus
■ Icon
■ Blocker
■ Each of your Mecha creatures that cost 8 or less in your shield zone get ""Shield Trigger"".",Creature,Mecha Del Stella/Shinobi,5,Light,5500,DM23-RP2X," 2X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- 2X
"Sith, Wicked Fight","■ Abyss Rush
■ Double Breaker
■ When you put this creature, choose one of your opponent's creatures. That creature loses infinite power until the End Step
■ Whenever this creature attacks, you may Mechraid",Creature,Abyss Chimera,6,Darkness,9000,DM23-RP2X,OR2,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-OR2
"Chaosmantra, Holy","■ Ninja Change
■ Double Breaker
■ When you put this creature or whenever it attacks, tap all your opponent's creatures.
■ Your opponent's creatures can't attack the turn they are put.",Creature,Mecha Del Stella/Shinobi,7,Light,9500,DM23-RP2X,OR1,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-OR1
"Senju, Lasting Moment Holy Chaos",■ Gravity Zero,Creature,Mecha Del Stella/Shinobi,5,Light,2000,DM23-RP2X,52,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-52
Ga:Nateha,"■ Blocker
■ Slayer
■ At the start of your turn, you may put 2 of your shields into your graveyard. If you do, Abyss Mechraid 8. Mechraid",Creature,Noir Abyss,4,Darkness,4000,DM23-RP2X,17,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-17
"Telesco %3D Teles, Forethought","■ Blocker
■ Powered Breaker
■ At the start of your opponent's turn, your opponent discards a card at random from their hand.
■ Whenever your opponent discards a card from their hand, you may draw a card.
■ This creature gets +5000 power for each player that has no cards in their hand.",Creature,Abyss Royale,5,Darkness,5000+,DM23-RP2X,5,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-5
"Telesco %3D Teles, Forethought","■ Blocker
■ Powered Breaker
■ At the start of your opponent's turn, your opponent discards a card at random from their hand.
■ Whenever your opponent discards a card from their hand, you may draw a card.
■ This creature gets +5000 power for each player that has no cards in their hand.",Creature,Abyss Royale,5,Darkness,5000+,DM23-RP2X," 5X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- 5X
Perfect Mysticroar,"■ If you have 4 or more cards in your mana zone that cost 7 or more, this spell costs 2 less to cast.
■ Choose 2 of the following. ''(You may choose the same one twice.)''
:► Draw 2 cards.
:► Choose one of your opponent's creatures and put it into it's owner's mana zone.
:► Shuffle your deck, then reveal the top card. If it's a creature, put it.",Spell,,8,Water/Nature,,DM23-RP2X,8,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-8
Perfect Mysticroar,"■ If you have 4 or more cards in your mana zone that cost 7 or more, this spell costs 2 less to cast.
■ Choose 2 of the following. ''(You may choose the same one twice.)''
:► Draw 2 cards.
:► Choose one of your opponent's creatures and put it into it's owner's mana zone.
:► Shuffle your deck, then reveal the top card. If it's a creature, put it.",Spell,,8,Water/Nature,,DM23-RP2X," 8X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- 8X
"Umbrella %3D Isabella, Abyss Attack Parasol","■ Double Breaker
■ When you put this creature or whenever it attacks, choose one of the following.
:► Choose one of your opponent's elements and destroy it. Then you may put the same number of cards as that element's cost from the top of your deck into your graveyard.
:► You may shuffle 13 cards from your graveyard and put them on the bottom of your deck. If you do, your opponent chooses 13 cards from their hand and battle zone shuffles them, and puts them on the bottom of their deck.",Creature,Abyss Royale,8,Darkness,9000,DM23-RP2X,S4,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-S4
"Umbrella %3D Isabella, Abyss Attack Parasol","■ Double Breaker
■ When you put this creature or whenever it attacks, choose one of the following.
:► Choose one of your opponent's elements and destroy it. Then you may put the same number of cards as that element's cost from the top of your deck into your graveyard.
:► You may shuffle 13 cards from your graveyard and put them on the bottom of your deck. If you do, your opponent chooses 13 cards from their hand and battle zone shuffles them, and puts them on the bottom of their deck.",Creature,Abyss Royale,8,Darkness,9000,DM23-RP2X," S4X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- S4X
Ultrabowl Giant/Father Touchdown,"■ Mach Fighter
■ Triple Breaker
■ Whenever this creature wins a battle, you may choose one of your opponent's shields and put it into its owner's mana zone.
■ Your opponent can't use non-creature cards that cost 5 or less.
=========================
■ Choose one of your opponent's creatures and put it into its owner's mana zone. Then you may put a creature that costs less than that creature from your mana zone.",Twinpact,Giant/Giant Skill,8,Nature/Nature,12000,DM23-RP2X,S7,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-S7
Ultrabowl Giant/Father Touchdown,"■ Mach Fighter
■ Triple Breaker
■ Whenever this creature wins a battle, you may choose one of your opponent's shields and put it into its owner's mana zone.
■ Your opponent can't use non-creature cards that cost 5 or less.
=========================
■ Choose one of your opponent's creatures and put it into its owner's mana zone. Then you may put a creature that costs less than that creature from your mana zone.",Twinpact,Giant/Giant Skill,8,Nature/Nature,12000,DM23-RP2X," S7X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- S7X
"Shikisokuzekku, Holy Chaos Great Ninja","■ Blocker
■ Triple Breaker
■ Whenever this creature taps, you may put any number of Mecha Del Stella cards from your hand.
■ Whenever one of your Mecha attacks or blocks, you may shieldify the top card of your deck.
■ If you have 10 or more shields, your Mecha Win All Battles",Creature,Mecha Del Sol/Shinobi,8,Light,13000,DM23-RP2X,S1,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-S1
"Shikisokuzekku, Holy Chaos Great Ninja","■ Blocker
■ Triple Breaker
■ Whenever this creature taps, you may put any number of Mecha Del Stella cards from your hand.
■ Whenever one of your Mecha attacks or blocks, you may shieldify the top card of your deck.
■ If you have 10 or more shields, your Mecha Win All Battles",Creature,Mecha Del Sol/Shinobi,8,Light,13000,DM23-RP2X," S1X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- S1X
"Mimosastar, Primachine/""Mechaming"", Summon Light Spell","■ Blocker
■ Double Breaker
=========================
■ Look at the top 3 cards of your deck. You may reveal a Mecha from among them and add it to your hand. Then put the rest on the bottom of your deck in any order.",Twinpact,Mecha Del Stella/Mecha Del Tech,5,Light/Light,7500,DM23-RP2X,51,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-51
Bolshack Galaward,"■ This creature costs 1 less to summon for each creature in the battle zone. It can't cost 0 or less.
■ Speed Attacker
■ Double Breaker
■ When you put this creature or whenever it attacks, you may choose one of your opponent's creatures. This creature and that creature battle.
■ Whenever this creature wins a battle, you may draw a card.",Creature,Armored Dragon,8,Fire,9000,DM23-RP2X,S5,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-S5
Bolshack Galaward,"■ This creature costs 1 less to summon for each creature in the battle zone. It can't cost 0 or less.
■ Speed Attacker
■ Double Breaker
■ When you put this creature or whenever it attacks, you may choose one of your opponent's creatures. This creature and that creature battle.
■ Whenever this creature wins a battle, you may draw a card.",Creature,Armored Dragon,8,Fire,9000,DM23-RP2X," S5X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- S5X
"The Mute, Doomsday","■ Shield Trigger Plus
■ Icon
■ When you put this creature, you may draw 2 cards. If you do, discard a card from your hand.",Creature,Magic Outrage MAX,3,Water,3000,DM23-RP2X,15,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-15
Nearpin Mosquito,"■ Shield Trigger Plus
■ Icon
■ When you put this creature, you may return a card from your mana zone to your hand.
■ This creature can't attack players.",Creature,Giant Insect,3,Nature,6000,DM23-RP2X,26,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-26
"Elnariku, Primachine","■ Blocker
■ This creature can't attack players.
■ At the end of each turn, if you put 2 or more cards into your shield zone this turn, Mecha Mechraid 8. Mechraid",Creature,Mecha Del Stella/Shinobi,4,Light,8000,DM23-RP2X,28,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-28
"Himecut, Song Dance Music Love/♪ Frog's Child, where can we meet? I want to say I love you","■ Friend Burst
■ During your opponent's turn, whenever your opponent draws a second or subsequent card in that turn, you may also draw a card.
=========================
■ Choose up to 2 of your opponent's elements and return them to their owner's hand.",Twinpact,Magic Mermaid/Magic Song,2,Water/Water,2000,DM23-RP2X,13,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-13
"Eternal Green Par Life, Eighteenth Dragon","■ Double Sympathy: Giant ''(When you summon this creature, you may pay 2 less for each of your Giant creatures. It can't cost 0 or less.)''
■ Mach Fighter
■ Double Breaker
■ Whenever one of your Giants attacks, you may draw a card.
■ Your Giants cost 2 less to use. They can't cost 0 or less.
■ At the start of your turn, if you have 18 or more creatures, Alternate Win",Creature,Giant Dragon,10,Nature,11000,DM23-RP2X,S8,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-S8
"Eternal Green Par Life, Eighteenth Dragon","■ Double Sympathy: Giant ''(When you summon this creature, you may pay 2 less for each of your Giant creatures. It can't cost 0 or less.)''
■ Mach Fighter
■ Double Breaker
■ Whenever one of your Giants attacks, you may draw a card.
■ Your Giants cost 2 less to use. They can't cost 0 or less.
■ At the start of your turn, if you have 18 or more creatures, Alternate Win",Creature,Giant Dragon,10,Nature,11000,DM23-RP2X," S8X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- S8X
"Troy, Holy Chaos Ninpo","■ You may return one of your Mecha or Shinobi to your hand. If you do, you may put a Mecha or Shinobi creature that costs 5 or less from your hand.",Spell,Mecha Del Tech/Shinobi,4,Light,,DM23-RP2X,55,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-55
Kl’avia Mondo,"■ Justdiver
■ At the start of your turn, you may draw a card.
■ At the end of each turn, if you cast a spell and summoned a creature this turn, Magic Mechraid 8. Mechraid",Creature,Magic Command,5,Water,5000,DM23-RP2X,14,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-14
"Messh, Explosion String Music Love/♪ If You and I can Sympathize, Majimonju","■ Friend Burst
=========================
■ Draw 3 cards.",Twinpact,Magic Mermaid/Magic Song,4,Water/Water,3000,DM23-RP2X,57,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-57
"Ganma, Ninja Chain Holy Chaos","■ Whenever this creature attacks, you may shieldify the top card of your deck.
■ Once per turn, whenever you put a card into your shield zone, Mecha Mechraid 5. Mechraid",Creature,Mecha Del Stella/Shinobi,3,Light,2000,DM23-RP2X,12,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-12
The Showtime,"■ Shield Trigger
■ Choose one of your opponent's elements that costs 4 or less and put it on the bottom of its owner's deck.",Spell,Invitation to the Abyss,3,Darkness,,DM23-RP2X,39,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-39
Kl'avia Tune,"■ Blocker
■ Triple Breaker
■ When you put this creature, until the start of your next turn, your opponent's creatures that cost 7 or less can't attack or block.
■ Your opponent's non-creature cards that cost 7 or less cost 8 instead.
■ Your opponent Unchoosable",Creature,Magic Command Dragon,8,Water,12000,DM23-RP2X,S3,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-S3
Kl'avia Tune,"■ Blocker
■ Triple Breaker
■ When you put this creature, until the start of your next turn, your opponent's creatures that cost 7 or less can't attack or block.
■ Your opponent's non-creature cards that cost 7 or less cost 8 instead.
■ Your opponent Unchoosable",Creature,Magic Command Dragon,8,Water,12000,DM23-RP2X," S3X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- S3X
"Bleach, Music Love Band","■ Whenever this creature attacks, choose one of your opponent's creatures. That creature can't attack or block until the start of your next turn.
■ Whenever this creature untaps, the next spell you cast this turn costs up to 3 less. ''(It can't cost 0 or less.)''",Creature,Magic Mermaid,2,Water,2000,DM23-RP2X,35,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-35
Cerulean Axe Dragon/Doubleaxe Charger,"■ Double Breaker
■ When you put this creature, you may choose one of your opponent's creatures. This creature and that creature battle.
=========================
■ Put up to 2 cards from your hand on the bottom of your deck in any order, then draw the same number of cards.
■ Charger",Twinpact,Armored Dragon/Armored Arts,7,Fire/Fire,9000,DM23-RP2X,40,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-40
"Balupialesk, Thunderflame Soaring Armor","■ Speed Attacker
■ This creature can't be destroyed while battling.
■ Whenever this creature attacks, you may put a Fire Bird from your hand.
■ After this creature attacks, you may destroy 5 of your Fire Birds. If you do, take an extra turn after this one.",Creature,Armored Fire Bird/Armored Wyvern,5,Fire,5000,DM23-RP2X,S6,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-S6
"Balupialesk, Thunderflame Soaring Armor","■ Speed Attacker
■ This creature can't be destroyed while battling.
■ Whenever this creature attacks, you may put a Fire Bird from your hand.
■ After this creature attacks, you may destroy 5 of your Fire Birds. If you do, take an extra turn after this one.",Creature,Armored Fire Bird/Armored Wyvern,5,Fire,5000,DM23-RP2X," S6X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- S6X
"Kagi, Ninja Claw Holy Chaos","■ Shield Trigger Plus
■ Icon
■ Blocker
■ Your hand can't be discarded by your opponent's spells or creature ability",Creature,Mecha Del Stella/Shinobi,3,Light,3500,DM23-RP2X,29,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-29
"Shirley C, Holy Chaos Ninja/Shirley Charger","■ Double Breaker
■ When you put this creature, shieldify the top 2 cards of your deck.
=========================
■ Shieldify the top card of your deck.
■ Charger",Twinpact,Mecha Del Stella/Shinobi/Mecha Del Tech,7,Light/Light,8500,DM23-RP2X,27,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-27
"Energico, Phoneme Symbol B Minor/♪ From the Surface, To Catch the Sky Charger","■ Double Breaker
■ When you put this creature, draw 2 cards.
=========================
■ Draw a card, then discard a card from your hand.
■ Charger",Twinpact,Magic Crystal Command Dragon/Magic Song,7,Water/Water,9000,DM23-RP2X,31,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-31
"Monocle %3D Doctorle/""It's the eye that sees through everything.""","■ Double Breaker
■ When you put this creature, choose one of your opponent's creatures and destroy it.
=========================
■ Each player puts the top 2 cards of their deck into their graveyard.
■ Charger",Twinpact,Abyss Royale/Invitation to the Abyss,7,Darkness/Darkness,8000,DM23-RP2X,36,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-36
Friend Giant/Takeback Charger,"■ Double Breaker
■ When you put this creature, put the top 2 cards of your deck into your mana zone tapped.
=========================
■ You may choose an element that costs 3 or less and put it into its owner's mana zone tapped.
■ Charger",Twinpact,Giant/Giant Skill,7,Nature/Nature,11000,DM23-RP2X,45,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-45
Bolshack Koya Dragon,"■ Shield Trigger Plus
■ Icon
■ Speed Attacker",Creature,Armored Dragon,4,Fire,4000,DM23-RP2X,41,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-41
Encounter with the Sun,"■ Armored Mechraid 5. Mechraid
■ Each of your creatures gets ""speed attacker"". ''(A creature that has ""speed attacker doesn't get summoning sickness.)''",Spell,Armored Arts,5,Fire,,DM23-RP2X,70,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-70
"Magic Haiku Collector/♪ Magison, Collect Up Fastly, Stream","■ Justdiver
■ Double Breaker
■ Each of your twinpact cards in your hand gets ""Strike Back: Twinpact"".
=========================
■ Look at the top 3 cards of your deck. Choose any number of twinpact cards from among them, reveal them to your opponent and add them to your hand. Put the rest on on the bottom of your deck in any order.",Twinpact,Magic Cyber Command/Magic Song,5,Water/Water,6000,DM23-RP2X,S2,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-S2
"Magic Haiku Collector/♪ Magison, Collect Up Fastly, Stream","■ Justdiver
■ Double Breaker
■ Each of your twinpact cards in your hand gets ""Strike Back: Twinpact"".
=========================
■ Look at the top 3 cards of your deck. Choose any number of twinpact cards from among them, reveal them to your opponent and add them to your hand. Put the rest on on the bottom of your deck in any order.",Twinpact,Magic Cyber Command/Magic Song,5,Water/Water,6000,DM23-RP2X," S2X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- S2X
Aqua Vibrato,"■ When you put this creature, draw a card.",Creature,Magic Liquid People,2,Water,1000,DM23-RP2X,59,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-59
"Daidai, Marching Baton","■ Shield Trigger Plus
■ Icon
■ You may summon this creature from your mana zone.",Creature,Giant Snow Faerie,2,Nature,3000,DM23-RP2X,48,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-48
"Midori, Marching Drum/Hamelin Harmony","■ When you put this creature, look at the top 2 cards of your deck. Put one of them into your mana zone.
=========================
■ Put all creatures into their owner's mana zone tapped.",Twinpact,Giant Snow Faerie/Giant Skill,3,Nature/Nature,3000,DM23-RP2X,24,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-24
"Bolshack Sky, Armored Wheel Double Flight","■ Speed Attacker
■ Blocker
■ Whenever another creature untaps, untap this creature.",Creature,Armored Dragon/Mecha Del Dinero,5,Light/Fire,5500,DM23-RP2X,50,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-50
Reaper XENARCH Hand,"■ Shield Trigger Plus
■ Choose one of your opponent's creatures and destroy it.
■ Icon",Spell,,6,Darkness,,DM23-RP2X,19,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-19
Flavum Gorghini,"■ If you have 2 or more creatures that have ""blocker"", this creature costs 3 less to summon.
■ Double Breaker
■ When you summon this creature, Mechraid
■ Untap all your Mecha End Step",Creature,Mecha Del Dinero/Supercar Dragon,9,Light,11500,DM23-RP2X,1,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-1
Flavum Gorghini,"■ If you have 2 or more creatures that have ""blocker"", this creature costs 3 less to summon.
■ Double Breaker
■ When you summon this creature, Mechraid
■ Untap all your Mecha End Step",Creature,Mecha Del Dinero/Supercar Dragon,9,Light,11500,DM23-RP2X," 1X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- 1X
Go! Ink Steady,"■ If you have 2 or more twinpact creatures, this creature costs 3 less to summon.
■ Double Breaker
■ When you summon this creature, Mechraid
■ Your Magic creatures can't be attacked or blocked.",Creature,Magic Poseidia Dragon,9,Water,11000,DM23-RP2X,3,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-3
Go! Ink Steady,"■ If you have 2 or more twinpact creatures, this creature costs 3 less to summon.
■ Double Breaker
■ When you summon this creature, Mechraid
■ Your Magic creatures can't be attacked or blocked.",Creature,Magic Poseidia Dragon,9,Water,11000,DM23-RP2X," 3X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- 3X
Rate:Ga:Fuyoki,"■ When you summon this creature, you may destroy 2 of your creatures. If you do, this creature costs 3 less to summon.
■ Double Breaker
■ When you summon this creature, Mechraid
■ Each of your Abyss get ""slayer"".",Creature,Noir Abyss,9,Darkness,11000,DM23-RP2X,4,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-4
Rate:Ga:Fuyoki,"■ When you summon this creature, you may destroy 2 of your creatures. If you do, this creature costs 3 less to summon.
■ Double Breaker
■ When you summon this creature, Mechraid
■ Each of your Abyss get ""slayer"".",Creature,Noir Abyss,9,Darkness,11000,DM23-RP2X," 4X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- 4X
Bolshack Noblesse Dragon,"■ If you have 3 or more fire elements, this creature costs 3 less to summon.
■ Double Breaker
■ When you summon this creature, Mechraid
■ Each of your Armored get +3000 power while battling.",Creature,Armored Dragon,9,Fire,10000+,DM23-RP2X,6,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-6
Bolshack Noblesse Dragon,"■ If you have 3 or more fire elements, this creature costs 3 less to summon.
■ Double Breaker
■ When you summon this creature, Mechraid
■ Each of your Armored get +3000 power while battling.",Creature,Armored Dragon,9,Fire,10000+,DM23-RP2X," 6X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- 6X
Ranshin! Albatross Tarantula,"■ If you have 2 or more creatures that have power 6000 or more, this creature costs 3 less to summon.
■ Triple Breaker
■ When you summon this creature, Mechraid
■ Whenever one of your Giants would be destroyed, you may put them into your mana zone instead.",Creature,Giant Insect,9,Nature,13000,DM23-RP2X,7,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-7
Ranshin! Albatross Tarantula,"■ If you have 2 or more creatures that have power 6000 or more, this creature costs 3 less to summon.
■ Triple Breaker
■ When you summon this creature, Mechraid
■ Whenever one of your Giants would be destroyed, you may put them into your mana zone instead.",Creature,Giant Insect,9,Nature,13000,DM23-RP2X," 7X",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X- 7X
Fantasista Life,"■ Put the top 2 cards of your deck into your mana zone tapped, then return a card from your mana zone to your hand.",Spell,Giant Skill,4,Nature,,DM23-RP2X,74,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-74
"Cyan, Marching Bell/Mimiru Musical","■ Friend Burst
■ Whenever this creature wins a battle, draw a card and break one of your opponent's shields.
■ Guardman
=========================
■ One of your creatures gets +4000 power until the End Step",Twinpact,Giant Snow Faerie/Giant Skill,5,Nature/Nature,7000,DM23-RP2X,23,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-23
"Mintojuba, Primachine/Minteor Ringing","■ Blocker
■ Double Breaker
■ Friend Burst
=========================
■ Choose one of the following for each of your creatures.
:► Choose one of your opponent's creatures and tap it.
:► Draw a card.",Twinpact,Mecha Del Stella/Mecha Del Tech,6,Light/Light,8000,DM23-RP2X,9,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-9
Aururi-T8,"■ Blocker
■ Double Breaker
■ True Escape ''(When this creature would leave, you may add 2 of your shields to your hand instead. You can't use the ""shield trigger"" abilities of those shields.)
■ If you have no shields, this creature can't leave.",Creature,Mecha Del Dinero,5,Light,6000,DM23-RP2X,10,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-10
"Yobirin %3D Ririn/""...who do you want to call?""","■ Friend Burst
■ Whenever another creature is destroyed, draw a card.
=========================
■ Choose one of your opponent's creatures. That creature gets -6000 power until the End Step",Twinpact,Abyss Royale/Invitation to the Abyss,5,Darkness/Darkness,4000,DM23-RP2X,16,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-16
Make Jam,"■ Put the top 3 cards of your deck into your graveyard.
■ Put all creatures from your graveyard that cost the same as or less than the number of cards in your mana zone into the battle zone tapped. When those creatures are put and their ability",Spell,Invitation to the Abyss,9,Darkness,,DM23-RP2X,18,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-18
Vertical Wyvern,"■ Shield Trigger Plus
■ Icon
■ When you put this creature, until the start of your next turn, whenever you are attacked, your opponent chooses one of their creatures that has the lowest power and destroys it.",Creature,Armored Wyvern,6,Fire,5000,DM23-RP2X,21,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-21
"Karakara Warn Lupia/""Leave this to meppi!""","■ Friend Burst
■ Each of your other Fire Birds gets +2000 power.
=========================
■ Discard a card from your hand, then draw 2 cards.",Twinpact,Armored Fire Bird/Armored Arts,2,Fire/Fire,2000,DM23-RP2X,20,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-20
Parrotta Night Mieppi,"■ Whenever you put a Dragon, draw a card.
■ If you have a tapped Dragon creature, your Fire Birds can't be attacked.",Creature,Armored Fire Bird,3,Fire,4000,DM23-RP2X,22,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-22
Fullcourse Giant,"■ Mach Fighter
■ Double Breaker
■ Whenever this creature would destroy one of your opponent's creatures while battling, you may Giant Mechraid 8 instead. Mechraid",Creature,Giant,6,Nature,9000,DM23-RP2X,25,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-25
"Regomiele, Primachine","■ When you put this creature, choose one of your opponent's creatures and tap it. While this creature is in the battle zone, that creature doesn't untap.",Creature,Mecha Del Stella,3,Light,3000,DM23-RP2X,30,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-30
"Idol Fish/♪ A Big Sky, Moonsault, Little Bit Slanting","■ At the start of your turn, you may return this creature to your hand. If you do, Magic Mechraid 5. Mechraid
=========================
■ Shield Trigger
■ Your opponent chooses 2 of their untapped creatures and returns them to their owner's hand.",Twinpact,Magic Fish/Magic Song,3,Water/Water,4000,DM23-RP2X,32,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-32
Zentsu,"■ Once per turn, whenever your opponent puts an element for no cost, you may Magic Mechraid 5. Mechraid",Creature,Magic Cyber Lord,3,Water,3000,DM23-RP2X,33,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-33
Takasugi Wawonchopper,"■ Shield Trigger Plus
■ Icon
■ This creature can't be blocked.",Creature,Magic Merfolk,2,Water,3000,DM23-RP2X,34,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-34
"Carpet %3D Garpet/""Hmm, lets take your wishes into consideration.""","■ Abyss Rush
■ Whenever your opponent casts a spell, your opponent chooses 2 cards from their hand and discards them.
=========================
■ Put the top 2 cards of your deck into your graveyard. If the 2 cards put this way are both Abyss, you may return an Abyss from your graveyard to your hand.",Twinpact,Abyss Royale/Invitation to the Abyss,4,Darkness/Darkness,4000,DM23-RP2X,37,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-37
Do:Toyakki,"■ Shield Trigger Plus
■ Icon
■ Slayer",Creature,Noir Abyss,3,Darkness,1000,DM23-RP2X,38,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-38
Little Jet Balupia,"■ Whenever one of your creatures attacks, if it's the second attack of your turn, Armored Mechraid 5. Mechraid",Creature,Armored Fire Bird,3,Fire,3000,DM23-RP2X,42,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-42
Chic Medic Sulucchi,"■ Your Dragons cost 1 less to summon. They can't cost 0 or less.
■ Saver",Creature,Armored Fire Bird,2,Fire,2000,DM23-RP2X,43,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-43
Watt Spike Trappi,"■ Guard Strike
■ Guardman
■ If you don't have 2 or more Dragons, this creature can't attack.",Creature,Armored Fire Bird,1,Fire,3000,DM23-RP2X,44,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM23-RP2X-44
